"Carimbo de data/hora","This space is automatically filled. Please don't change this value. This in a unique ID, for research purposes.","Gender","Age","Academic Qualifications","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Can you indentify the worst part of using our application?","And the best part?","Feel free to use this space to give any extra information that you feel necessary. Every feedback is welcome."
"2020/11/03 2:40:20 da tarde GMT","2020-11-02_0384364_7214270.txt","Male","19-25","Bachelor’s degree","7","7","1","1","1","6","6","4","1","1","7","1","7","7","6","7","1","1","1","7","1","6","1","1","1","7","","",""
"2020/11/03 3:28:36 da tarde GMT","2020-11-02_1278655_3523026.txt","Male","19-25","Master’s degree","7","7","1","3","4","5","5","6","1","2","6","1","7","6","5","7","1","3","1","6","3","6","1","1","1","6","Holding the device","Visual representation of the experiment",""
"2020/11/03 3:41:40 da tarde GMT","2020-11-02_5060831_0241712.txt","Female","19-25","Bachelor’s degree","7","7","1","1","1","7","7","1","2","4","7","1","7","7","5","7","1","1","1","7","2","6","3","2","1","6","i don´t understand physics so in the beggining it can be kind of confusing to understand the values and what they do.","learning about the object in question",""
"2020/11/03 3:46:55 da tarde GMT","2020-11-02_6484666_0031871.txt","Male","19-25","Master’s degree","6","5","1","4","2","5","6","5","3","4","6","2","6","5","5","6","1","3","2","6","2","6","2","2","1","6","","",""
"2020/11/03 4:09:34 da tarde GMT","2020-11-02_8117821_8512620.txt","Male","19-25","12th grade / High School","7","6","1","2","1","6","7","3","1","2","6","1","7","7","6","7","1","2","2","7","2","7","1","2","1","6","","The AR",""
"2020/11/04 10:35:00 da manhã GMT","2020-11-03_0675271_3075413.txt","Male","19-25","12th grade / High School","5","4","1","5","4","4","5","3","1","4","5","3","3","4","4","4","3","3","3","5","4","5","2","3","4","5","at the beginning I felt a little bit lost, didn´t know what was supposed to do","achieveing the tasks proposed",""
"2020/11/04 11:18:21 da manhã GMT","2020-11-03_2645761_2884372.txt","Male","26-40","Master’s degree","5","5","3","3","2","6","6","4","2","3","5","2","5","5","5","5","3","3","2","6","3","5","1","2","2","5","Shaking image","Very nice to see first hand how the parameters impact the object.",""
"2020/11/04 2:56:19 da tarde GMT","2020-11-03_2645761_2884374.txt","Female","19-25","Master’s degree","6","6","1","2","2","6","7","5","2","1","6","1","6","6","6","6","1","2","2","6","2","6","2","2","1","6","As vezes a imagem do objecto e a sua representação nao estavam alinhadas. Em alguns desafios não era dada a informação necessária","Permite-nos aprender como funciona o objecto",""
"2020/11/04 3:17:48 da tarde GMT","2020-11-03_6342823_5706477.txt","Male","19-25","Bachelor’s degree","3","4","2","2","3","5","5","4","2","2","5","3","5","5","5","5","2","3","3","6","2","6","2","3","3","5","Having to hold the tablet in a certain position for the entire experiment.","Being able to see the differences without delays just by chaging the input values.",""
"2020/11/05 11:00:07 da manhã GMT","2020-11-03_8755502_1463717.txt","Female","26-40","PhD","7","7","1","1","1","7","7","7","1","1","7","1","7","7","6","7","1","1","1","7","1","7","1","1","1","7","","Visualize the object since if i went to the museum the object was being repared",""
