"Carimbo de data/hora","This space is automatically filled. Please don't change this value. This in a unique ID, for research purposes.","Gender","Age","Academic Qualifications","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects  your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Select the option that most reflects your opinion about our application.","Can you indentify the worst part of using our application?","And the best part?","Can you select the image that better represents the 𝗲𝗹𝗲𝘁𝗿𝗶𝗰 𝗳𝗶𝗲𝗹𝗱?","Do you think, this is a good representation?","If you answer no, please indicate what you would change.","Can you select the image that better  represent 𝗺𝗮𝗴𝗻𝗲𝘁𝗶𝗰 𝗳𝗶𝗲𝗹𝗱?","Do you think, this is a good representation?","If you answer no, please indicate what you would change.","Can you describe what happens when you change the tension?","Can you describe what happens when you change the intensity?","Can you describe what happens when you change the rotation?","Please select the options that best reflect what this application is about.","Feel free to use this space to give any extra information that you feel necessary. Every feedback is welcome."
"2020/07/27 12:25:34 da tarde CET","2020-07-27_0628151_8381700.txt","Male","19-25","Master","6","7","1","1","1","5","7","4","3","1","6","1","7","6","5","7","4","2","2","7","1","7","1","4","1","5","Some spelling mistakes. Also in the challenge where we have to make a spiral you say ""I know it doesn´t look like a spiral"" and that is true is you have the rotation fixed. If you rotate the object you can actually see the spiral. You could write a line to incentivate the rotation to see the spiral.(Não aprendeste nada nas aulas de portfólio)","It fun to learn how something works through a game or and interaction rather than just read abou it.","Option 2","Yes","","Option 3","No","I chose Option 3 just to be different from the previous question. The magnetic field and the electric field cant be represented by the same visual aid but at the same time the magnetic field is generated by an electric field.","The tension makes the ray more or less round.","The electric field becomes more yellow which leads to the ray became straiter, less round, basicamente encolhe.","The rotation makes the ray become more or less dense and also changes o encolhemento ou abertura.","Electrons are manipulated throw a magnetic field",""
"2020/07/27 12:51:07 da tarde CET","2020-07-27_7788445_2371788.txt","Male","19-25","Master","6","4","6","6","2","4","5","7","4","4","4","3","6","5","3","5","2","4","4","5","5","3","3","3","3","3","","","Option 2","Yes","","Option 3","Yes","","No","No ","No","Electric coils generate a magetic field",""
"2020/07/27 1:33:24 da tarde CET","2020-07-27_2663560_1222836.txt","Male","19-25","Degree","6","5","2","4","2","5","6","5","3","2","6","1","4","5","4","5","2","2","4","6","3","6","3","3","2","6","Initially, it was hard to understand what each of the parameters was doing visually.","Seeing the visual effects of changing the different variables.","Option 2","Yes","","Option 2","Yes","","The proximity between the spirals changes.","The ""size"" of the spiral changes","The initial direction of the spiral changes.","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/07/27 1:39:20 da tarde CET","2020-07-27_0861655_1115488.txt","Male","19-25","12º year","6","6","2","1","1","5","7","4","2","2","7","2","5","6","5","6","2","2","3","6","2","5","2","3","1","3","","","Option 1","Yes","","Option 2","Yes","","The eletric and magnetic field changes ","The flux changes ","The radius of the circumference changes ","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field",""
"2020/07/27 1:47:11 da tarde CET","2020-07-27_3344664_3004130.txt","Female","19-25","Degree","5","4","4","3","5","3","3","4","2","3","4","4","4","3","4","4","2","4","4","5","4","5","3","4","3","3","None.","Being able to see only the glass","Option 2","Yes","","Option 3","Yes","","No idea","no idea","It change places.","Electrons are manipulated throw a magnetic field",""
"2020/07/27 2:16:53 da tarde CET","2020-07-27_2244063_0564007.txt","Female","19-25","Degree","6","5","2","2","2","6","6","4","2","4","4","2","5","5","4","5","1","1","2","7","3","5","2","2","2","5","","","Option 1","Yes","","Option 2","Yes","","altera o rio do feixe","cria um campo eletrico circular que dá origem a um campo magentico","altera o feixe ","Electric coils generate a magetic field;Tension have no impact on the electron beam",""
"2020/07/27 4:18:25 da tarde CET","2020-07-27_3524850_6347477.txt","Male","19-25","Master","6","4","3","5","2","4","7","4","1","3","6","2","7","6","5","6","4","4","1","5","6","6","5","4","1","6","Lack of sound","Easy to understand UI","Option 2","Yes","","Option 2","Yes","","lengthen magnetic field","alter electric field","change electron beam position relative to magnetic field","Electric coils generate a magetic field",""
"2020/07/27 5:38:32 da tarde CET","2020-07-27_2753254_2055134.txt","Male","19-25","Master","3","4","3","5","3","3","5","1","3","3","5","4","5","4","5","3","7","4","4","5","5","6","2","3","3","5","I didn't know if I was supposed to see the beam coming out of the central piece or if it was a bug.","There were only 3 options to use.","Option 2","Yes","","Option 3","Yes","","The beam radius increases when increasing such value.","The beam radius shrinks when increasing such value.","Number of twits in the beam changes.","Electric coils generate a magetic field;Electrons are manipulated throw a magnetic field","Please, be aware that some individuals may experience seizures when exposed to this application. An initial warning would be advised. Take this info by Sony as an example, https://www.playstation.com/en-us/network/legal/health-warnings/."
"2020/07/27 6:40:16 da tarde CET","2020-07-27_0278710_1173388.txt","I rather not say","19-25","12º year","4","5","3","2","3","3","5","6","3","3","5","2","5","5","4","5","4","3","5","4","5","3","5","3","2","5","The english needs some corrections. Also, for someone that is not familiar with a cathode ray, the interaction is confusing. It would be nice to have the parts clearly labeled, or an introduction before the game actually starts.","The walkthrough / achievements","Option 3","No","It looks like part of the structure","Option 2","Yes","","","The shapes become larger/smaller","The shape of the beam changes.","Electrons are manipulated throw a magnetic field",""
"2020/07/28 2:43:36 da tarde CET","2020-07-28_4074715_0870414.txt","Male","19-25","Degree","6","6","2","2","3","5","6","6","3","4","6","2","5","6","5","6","1","2","2","6","2","6","2","2","2","5","The first glance made me confused, but it explained well and it was good.","It's easy to understand and works pretty well.","Option 2","Yes","","Option 1","Yes","","You alter the radious. ","You create a magnetic field.","You change the electric beam position","Electrons are manipulated throw a magnetic field",""
