EventType: OnAppLoad EventDate: 7/27/2020 5:29:18 PM AdditionalInfo:  
EventType: Click EventDate: 7/27/2020 5:29:22 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 7/27/2020 5:29:26 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 7/27/2020 5:29:30 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 7/27/2020 5:29:31 PM AdditionalInfo:  
EventType: Tension EventDate: 7/27/2020 5:29:31 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 5:29:31 PM AdditionalInfo: 100 
EventType: Tension EventDate: 7/27/2020 5:29:31 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 7/27/2020 5:29:31 PM AdditionalInfo: 13 
EventType: Click EventDate: 7/27/2020 5:30:04 PM AdditionalInfo: Show pop-ups: True 
EventType: AchivementUnlocked EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: 0.02369645 
EventType: Intensity EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: 0.1421894 
EventType: Intensity EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: 0.1895868 
EventType: Intensity EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: 0.2369828 
EventType: Intensity EventDate: 7/27/2020 5:30:25 PM AdditionalInfo: 0.3080782 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.3317747 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.3554742 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.3791722 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.4028702 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.4502676 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.4739656 
EventType: Intensity EventDate: 7/27/2020 5:30:26 PM AdditionalInfo: 0.4976651 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.521363 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.5450611 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.5687605 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.592457 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.6398544 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.6872519 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.7109499 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.7346479 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.7583458 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.8768388 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.9479327 
EventType: Intensity EventDate: 7/27/2020 5:31:00 PM AdditionalInfo: 0.9716307 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.9005352 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.8531393 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.592457 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.5450611 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.521363 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.4976651 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.4502691 
EventType: Intensity EventDate: 7/27/2020 5:31:01 PM AdditionalInfo: 0.3791737 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.3080782 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.2606823 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.2132848 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.2369828 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.2606823 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.2843788 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.3080782 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.3317762 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.4976651 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.592457 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.6161565 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.6872519 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.6635525 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.7109499 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.7820438 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.8057433 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.8294413 
EventType: Intensity EventDate: 7/27/2020 5:31:02 PM AdditionalInfo: 0.8531393 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 0.8768388 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 0.9005352 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 0.9242347 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 0.9479327 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 0.9716307 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.019028 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.042726 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.066424 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.13752 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.161217 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.232313 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.256011 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.279709 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.303409 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.327106 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.350804 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.3982 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.445598 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.469296 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.516692 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.587787 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.635185 
EventType: Intensity EventDate: 7/27/2020 5:31:03 PM AdditionalInfo: 1.706279 
