EventType: OnAppLoad EventDate: 9/7/2020 12:30:33 AM AdditionalInfo:  
EventType: Click EventDate: 9/7/2020 12:31:00 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 9/7/2020 12:31:03 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 9/7/2020 12:31:07 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 9/7/2020 12:31:10 AM AdditionalInfo:  
EventType: Tension EventDate: 9/7/2020 12:31:11 AM AdditionalInfo: 100 
EventType: Tension EventDate: 9/7/2020 12:31:11 AM AdditionalInfo: 100 
EventType: Tension EventDate: 9/7/2020 12:31:11 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/7/2020 12:31:11 AM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 9/7/2020 12:31:15 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 9/7/2020 12:31:15 AM AdditionalInfo: 1.197252 
EventType: Rotation EventDate: 9/7/2020 12:31:18 AM AdditionalInfo: 141 
EventType: Tension EventDate: 9/7/2020 12:31:20 AM AdditionalInfo: 155 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.22095 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.244648 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.339441 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.386839 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.529028 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.671218 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.718615 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.766011 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.789709 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.860805 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 1.9082 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 2.050391 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 2.121487 
EventType: Intensity EventDate: 9/7/2020 12:31:26 AM AdditionalInfo: 2.145185 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 2.121487 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 2.097787 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.9319 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.64752 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.529028 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.434235 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.244648 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.197252 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.126157 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.078761 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.055061 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.031363 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 1.007665 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.9365697 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.7232849 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.6284915 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.4863021 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.3915087 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.3678092 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.3441127 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.2967152 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.2730173 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.2493178 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.2019218 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.1545259 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.08343042 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0.03603448 
EventType: Intensity EventDate: 9/7/2020 12:31:27 AM AdditionalInfo: 0 
EventType: Intensity EventDate: 9/7/2020 12:31:29 AM AdditionalInfo: 0.01233498 
EventType: Intensity EventDate: 9/7/2020 12:31:30 AM AdditionalInfo: 0.03603448 
EventType: Intensity EventDate: 9/7/2020 12:31:30 AM AdditionalInfo: 0.05973093 
EventType: Intensity EventDate: 9/7/2020 12:31:30 AM AdditionalInfo: 0.08343042 
EventType: Intensity EventDate: 9/7/2020 12:31:30 AM AdditionalInfo: 0.05973093 
EventType: Intensity EventDate: 9/7/2020 12:31:31 AM AdditionalInfo: 0.01233498 
EventType: Intensity EventDate: 9/7/2020 12:31:31 AM AdditionalInfo: 0 
EventType: Intensity EventDate: 9/7/2020 12:31:32 AM AdditionalInfo: 0.01233498 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 153 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 159 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 164 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 173 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 176 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 182 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 185 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 194 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 197 
EventType: Rotation EventDate: 9/7/2020 12:31:34 AM AdditionalInfo: 205 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 214 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 223 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 243 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 252 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 258 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 264 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 267 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 270 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 275 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 281 
EventType: Rotation EventDate: 9/7/2020 12:31:35 AM AdditionalInfo: 287 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 290 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 296 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 299 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 308 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 310 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 313 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 316 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 322 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 325 
EventType: Rotation EventDate: 9/7/2020 12:31:36 AM AdditionalInfo: 328 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 331 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 334 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 340 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 343 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 345 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 348 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 351 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 354 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 357 
EventType: AchivementUnlocked EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: CR1 
EventType: Rotation EventDate: 9/7/2020 12:31:37 AM AdditionalInfo: 360 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.03603142 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.05973093 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.1308264 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.1782223 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.2256183 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.3204132 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.3441097 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.3678092 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.4626026 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.5573961 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.6047919 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.6284915 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.6758875 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.6995854 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.7232834 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.7469829 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.8654743 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 0.8891722 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.031362 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.078759 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.126155 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.149853 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.173553 
EventType: Intensity EventDate: 9/7/2020 12:31:46 AM AdditionalInfo: 1.220948 
