EventType: OnAppLoad EventDate: 8/8/2020 1:19:13 AM AdditionalInfo:  
EventType: Click EventDate: 8/8/2020 1:19:34 AM AdditionalInfo: Yes Button 
EventType: Click EventDate: 8/8/2020 1:19:36 AM AdditionalInfo: Next Button 
EventType: Click EventDate: 8/8/2020 1:19:47 AM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 8/8/2020 1:19:50 AM AdditionalInfo:  
EventType: Tension EventDate: 8/8/2020 1:19:51 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/8/2020 1:19:51 AM AdditionalInfo: 100 
EventType: Tension EventDate: 8/8/2020 1:19:51 AM AdditionalInfo: 100 
EventType: Rotation EventDate: 8/8/2020 1:19:51 AM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: CR0 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.03122528 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.2341896 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.2498022 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.2810275 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.2966402 
EventType: Intensity EventDate: 8/8/2020 1:20:26 AM AdditionalInfo: 0.3122528 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.3278654 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.3747033 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.4215413 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.562055 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.6869562 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.8430825 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 0.9992089 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.155335 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.311462 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.436363 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.639327 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.71739 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.811066 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 1.982805 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.076481 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.170157 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.216995 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.279445 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.341896 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.419959 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.48241 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.591698 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.716599 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.825888 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 2.935176 
EventType: Intensity EventDate: 8/8/2020 1:20:45 AM AdditionalInfo: 3 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.968775 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.937549 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.906324 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.859486 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.843874 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.812648 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.781423 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.76581 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.734585 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.718972 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.70336 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.687747 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.656522 
EventType: Intensity EventDate: 8/8/2020 1:20:50 AM AdditionalInfo: 2.640909 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 2.687747 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 2.750198 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 2.828261 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 2.906324 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 2.968775 
EventType: Intensity EventDate: 8/8/2020 1:20:51 AM AdditionalInfo: 3 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.906324 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.70336 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.516008 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.40672 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.344269 
EventType: Intensity EventDate: 8/8/2020 1:20:52 AM AdditionalInfo: 2.313044 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.328656 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.375494 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.453558 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.531621 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.625297 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.672135 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.718972 
EventType: Intensity EventDate: 8/8/2020 1:20:53 AM AdditionalInfo: 2.734585 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.70336 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.687747 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.640909 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.562846 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.375494 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 2.11008 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 1.735376 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 1.376285 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 1.110871 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.876681 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.7673925 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.6893293 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.6737167 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.6581041 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.5644282 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.3614639 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0.002373152 
EventType: Intensity EventDate: 8/8/2020 1:20:56 AM AdditionalInfo: 0 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.06482371 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.1428869 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.2834007 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.4083018 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.486365 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.5488155 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6268787 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6581041 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6893293 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.7205546 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.7517798 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.7205546 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.7049419 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6893293 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6581041 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6424914 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6268787 
EventType: Intensity EventDate: 8/8/2020 1:20:57 AM AdditionalInfo: 0.6112661 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.5800408 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.5644282 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.5332029 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.486365 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.4551397 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.4395271 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.4239144 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.4083018 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.3926892 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.3770765 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.3614639 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.3146259 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2990133 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2834007 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2677881 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2521754 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2365627 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.2053375 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.1897248 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.1428869 
EventType: Intensity EventDate: 8/8/2020 1:20:58 AM AdditionalInfo: 0.1116616 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.1272743 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.1897248 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.2521754 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3146259 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3302386 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3458512 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3614639 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3770765 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.3926892 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.4083018 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.4239144 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.4395271 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.4551397 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.486365 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5019776 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5175903 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5488155 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5644282 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5800408 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.5956534 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.6112661 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.6268787 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.6581041 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.6893293 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.7049419 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.7517798 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.7830051 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.8142304 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.8454557 
EventType: Intensity EventDate: 8/8/2020 1:20:59 AM AdditionalInfo: 0.8610683 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 0.876681 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 0.9079063 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 0.9391315 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 0.9547442 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.001582 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.064033 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.126483 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.157708 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.188934 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.235772 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.251384 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.266997 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.28261 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.298222 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.313835 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.329448 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.360673 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.376285 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.391898 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.407511 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.423123 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.438736 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.469961 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.501187 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.548024 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.626088 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.688538 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.750989 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.797827 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.860277 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.87589 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.922728 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.938341 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 1.953953 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.000791 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.032016 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.063241 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.094467 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.125692 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.17253 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.188143 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.234981 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.266206 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.313044 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.328656 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.375494 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.422332 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.453558 
EventType: Intensity EventDate: 8/8/2020 1:21:00 AM AdditionalInfo: 2.531621 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.562846 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.609684 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.656522 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.687747 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.70336 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.734585 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.76581 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.797036 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.843874 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.875099 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.921937 
EventType: Intensity EventDate: 8/8/2020 1:21:01 AM AdditionalInfo: 2.937549 
