EventType: OnAppLoad EventDate: 9/1/2020 10:14:31 PM AdditionalInfo:  
EventType: Click EventDate: 9/1/2020 10:15:05 PM AdditionalInfo: Yes Button 
EventType: Click EventDate: 9/1/2020 10:15:09 PM AdditionalInfo: Next Button 
EventType: Click EventDate: 9/1/2020 10:15:12 PM AdditionalInfo: Play Button 
EventType: OnAppLoad EventDate: 9/1/2020 10:15:14 PM AdditionalInfo:  
EventType: Tension EventDate: 9/1/2020 10:15:15 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/1/2020 10:15:15 PM AdditionalInfo: 100 
EventType: Tension EventDate: 9/1/2020 10:15:15 PM AdditionalInfo: 100 
EventType: Rotation EventDate: 9/1/2020 10:15:15 PM AdditionalInfo: 13 
EventType: AchivementUnlocked EventDate: 9/1/2020 10:17:00 PM AdditionalInfo: CR0 
EventType: Intensity EventDate: 9/1/2020 10:17:00 PM AdditionalInfo: 1.410537 
EventType: Rotation EventDate: 9/1/2020 10:17:20 PM AdditionalInfo: 147 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 243 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 302 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 334 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 337 
EventType: Rotation EventDate: 9/1/2020 10:17:22 PM AdditionalInfo: 340 
EventType: AchivementUnlocked EventDate: 9/1/2020 10:17:25 PM AdditionalInfo: CR1 
EventType: Rotation EventDate: 9/1/2020 10:17:25 PM AdditionalInfo: 360 
EventType: Rotation EventDate: 9/1/2020 10:17:25 PM AdditionalInfo: 360 
EventType: Intensity EventDate: 9/1/2020 10:17:35 PM AdditionalInfo: 0.2493193 
EventType: NoActionClick EventDate: 9/1/2020 10:18:25 PM AdditionalInfo: Hint showed: CR2 
EventType: Rotation EventDate: 9/1/2020 10:18:42 PM AdditionalInfo: 90 
EventType: Rotation EventDate: 9/1/2020 10:18:42 PM AdditionalInfo: 90 
EventType: AchivementUnlocked EventDate: 9/1/2020 10:20:34 PM AdditionalInfo: CR2 
EventType: Intensity EventDate: 9/1/2020 10:20:34 PM AdditionalInfo: 1.457933 
EventType: Rotation EventDate: 9/1/2020 10:20:38 PM AdditionalInfo: 59 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 62 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 71 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 88 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 103 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 121 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 126 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 132 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 135 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 138 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 141 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 147 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 150 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 153 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 156 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 159 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 162 
EventType: Rotation EventDate: 9/1/2020 10:20:39 PM AdditionalInfo: 159 
